
0.00000		46.11916
0.84938		45.25621
1.69875		44.33542
2.59283		43.36126
3.44221		42.33373
4.29158		41.24836
5.14096		40.10517
6.03504		38.90415
6.88442		37.64530
7.73379		36.31528
8.58317		34.91409
9.47725		33.45063
10.32662	31.93378
11.17600	30.37691
12.02538	28.77999
12.91946	27.14305
13.76883	25.46162
14.61821	23.74016
15.46758	21.97421
16.36166	20.17269
17.21104	18.33557
18.06042	16.44952
18.90979	14.53234
19.75917	12.57067
20.65325	10.56897
21.50262	8.51834
22.35200	6.44547
23.20138	4.31922
24.09546	2.17073
24.94483	-0.00445
